"Number of pupils in each class at individual national school level, 2011/2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The data contained in this sheet is sourced from the 2011/2012 Census of Primary Schools and refers to pupils in mainstream classes only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Class No. 1,Class No. 2,Class No. 3,Class No. 4,Class No. 5,Class No. 6,Class No. 7,Class No. 8,Class No. 9,Class No. 10,Class No. 11,Class No. 12,Class No. 13,Class No. 14,Class No. 15,Class No. 16,Class No. 17,Class No. 18,Class No. 19,Class No. 20,Class No. 21,Class No. 22,Class No. 23,Class No. 24,Class No. 25,Class No. 26,Class No. 27,Class No. 28,Class No. 29,Class No. 30,Class No. 31,Class No. 32,Class No. 33,Class No. 34,Class No. 35
COUNTY,RollNo,SCHOOL,ADDRESS1,ADDRESS2,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils
LEITRIM,18656E,SN BEAL AN ATHA MHOIR,SCOIL NAOMH PADRAIG,BEAL AN ATHA MHOIR,23,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEITRIM,18741S,FAITIMA N S,CLUANA,CARRICK ON SHANNON,20,21,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEITRIM,18822S,ST MARYS N.S.,SUMMERHILL,CARRICK -ON-SHANNON,23,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEITRIM,19255O,ST MICHAELS NS,GLENFARNE,CO LEITRIM,22,19,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEITRIM,19360L,DRUMKEERIN CENTRAL NS,DRUMKEERIN CENTRAL SCH,DRUMKEERIN,19,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEITRIM,19365V,ACHADH NA SILEANN,ACHADH NA SILEANN,CORA DROMA RUISC,13,26,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEITRIM,19423J,ST  PATRICKS NS,DRUMSHAMBO,CO LEITRIM,26,21,22,31,30,31,28,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEITRIM,19519W,ST BRIDS,DRUMCONG CENTRAL SCHOOL,DRUMCONG,30,28,28,24,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEITRIM,19554B,SCOIL MHUIRE,BORNACOOLA,CARRICK ON SHANNON,23,21,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEITRIM,19600F,S N NAOMH MHUIRE,DRUMLEA,CARRIGALLEN,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEITRIM,20079E,FOUR MASTERS NS,KINLOUGH,CO LEITRIM,23,24,24,28,29,33,30,33,28,,,,,,,,,,,,,,,,,,,,,,,,,,
LEITRIM,20203C,MOHILL N S,MOHILL,CO LEITRIM,26,25,36,25,28,23,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEITRIM,20212D,GAELSCOIL LIATROMA,C L G MAOMH MHUIRE,ATTYFINLAY,24,30,24,32,26,34,16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEITRIM,20260O,Gaelscoil Chluainín,Sráid an Chaisleáin,Cluainín Uí Ruairc,21,31,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,00570R,MHUIRE NAOFA CAILINI,BISHOP STREET,LIMERICK,13,17,14,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,06936R,ST JOHNS CONVENT,CATHEDRAL PLACE,LIMERICK CITY,19,22,21,19,18,18,24,21,23,29,25,29,23,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,12834S,ST MICHAELS,11 BARRINGTON ST,LIMERICK,24,20,27,29,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,15320C,ST MICHAELS NS,CBS GROUNDS,SEXTON STREET,14,13,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,16443A,SCOIL PADRAIG NAOFA B,DUBLIN ROAD,LIMERICK,30,26,26,29,26,28,26,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,16444C,SCOIL PADRAIG NAOFA C,DUBLIN ROAD,LIMERICK,25,27,29,32,32,31,26,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,16715H,ST JOHN THE BAPTIST BOYS N S,DOWNEY STREET,PENNYWELL,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,16910F,SCOIL IOSAGAIN,SRAID SEASNAIN,LIMERICK,19,21,21,22,23,16,17,16,18,22,19,17,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,17445J,SCOIL LILE NAOFA,KILEELY,LIMERICK,19,23,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,17671S,MARIA AUXILIATRIX N S,FERNBANK,LIMERICK,18,19,31,28,24,29,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,17737W,OUR LADY QUEEN OF PEACE SCHOOL,JANESBORO,LIMERICK,19,21,16,14,17,18,25,26,30,24,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,17941V,ST MUNCHINS G N S,BALLYNANTY,LIMERICK,,24,18,22,24,16,14,21,19,18,14,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,17942A,SCOIL MHAINCHIN BUACH,BOTHAR SIOLBROIN,LIMERICK,12,12,13,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,18677M,SCOIL MATHAIR DE,CUAR BOTHAR THEAS,LUIMNEACH,30,29,30,24,29,27,23,23,30,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,18872K,SCOIL IDE,CORBALLY,LIMERICK,24,27,25,27,25,24,24,24,30,30,30,26,24,21,24,31,32,30,29,28,27,29,29,29,30,30,30,33,,,,,,,
LIMERICK CITY,18991S,J F K MEMORIAL SCHOOL,ENNIS RD,LIMERICK,25,25,28,28,34,25,24,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,19204U,CROI RO NAOFA IOSA,FERNBANK,LIMERICK,28,29,29,25,24,21,22,22,27,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,19331E,SCOIL CHRIOST RI B,CAHERDAVIN,LIMERICK City,29,27,22,22,23,26,25,20,27,32,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,19332G,S N MUIRE NA HEIREANN,CAHERDAVIN,LIMERICK City,21,21,27,31,31,28,27,28,26,28,26,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,19372S,SOUTH HILL N S,SOUTH HILL,LIMERICK,15,11,10,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,19475F,ST BRIGIDS NS,SINGLAND,LIMERICK,29,28,29,30,26,26,25,26,30,29,22,23,25,23,23,24,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,19667O,OUR LADY OF LOURDES N S,ROSBRIEN,LIMERICK,9,8,11,11,18,23,21,16,24,13,11,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,19830W,CORPUS CHRISTI N S,MOYROSS,LIMERICK,19,18,19,17,15,13,13,24,13,16,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,19894C,AN MHODH SCOIL,ASCAIL UI CHONAILL,LUIMNEACH,31,23,25,25,22,29,29,29,28,32,33,29,24,26,31,30,23,32,26,26,,,,,,,,,,,,,,,
LIMERICK CITY,19931F,GAELSCOIL SHEOIRSE,CLANCY,AN CNOC THEAS,15,14,24,27,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,19934L,LIMERICK SCHOOL PROJECT,O'CONNELL AVENUE,LIMERICK,28,25,28,27,28,27,29,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,19956V,GAELSCOIL SAIRSEAL,SRAID AN DROICHID,LUIMNEACH,16,17,35,27,28,30,32,24,15,19,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,20018H,MARIA KING PRESENTATION PRIMARY,SEXTON STREET,LIMERICK,19,17,15,17,27,21,31,25,23,14,12,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,20181S,GAELSCOIL AN RAITHIN,DOORADOYLE ROAD,LIMERICK CITY,20,26,35,34,30,32,37,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,20184B,GALVONE NS,KENNEDY PARK,LIMERICK CITY,7,10,11,10,12,27,20,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK CITY,20185D,ST MARYS BOYS NS,ISLAND ROAD,LIMERICK,9,10,11,13,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,02007A,CROAGH NATIONAL SCHOOL,RATHKEALE,CO LIMERICK,19,23,18,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,02358G,TEMPLEGLANTINE N S,TEMPLEGLANTINE,CO LIMERICK,27,22,19,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,02813E,S N SHEANAIN,FOYNES,CO LIMERICK,25,23,28,21,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,04466T,BALLYMARTIN N S,CROOM,KILMALLOCK,18,22,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,04469C,S N FIODHNACH,KILLMALLOCK,CO LIMERICK,31,21,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,06516S,KILDIMO NATIONAL SCHOOL,KILDIMO,CO LIMERICK,18,29,28,28,29,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,06539H,KNOCKEA NATIONAL SCHOOL,BALLYNEETY,CO LIMERICK,31,30,26,25,24,29,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,07117J,S N LOCH GUIR,HOLY CROSS,KILLMALLOCK,25,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,07222G,BANOGUE NATIONAL SCHOOL,CROOM,CO LIMERICK,19,29,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,07317R,GLENGURT N S,TOORNAFULLA,CO LIMERICK,21,29,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,07857D,S N AILBHE,KILLINURE,LIMERICK,25,20,28,29,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,07900B,BALLYSTEEN N S,ASKEATON,CO LIMERICK,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,08342V,BOHERMORE N S,BALLYSIMON,CO LIMERICK,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,08419H,ARDPATRICK N S,KILLMALLOCK,CO LIMERICK,26,26,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,08572P,BRUREE NATIONAL SCHOOL,BRUREE,CO LIMERICK,21,27,31,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,08926B,ST NICHOLAS CHURCH OF IRELAND SCHOO,ADARE,CO LIMERICK,29,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,09132P,CARNANE MXD N S,FEDAMORE,KILMALLOCK,26,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,09296W,OUR LADYS ABBEY,SCOIL NA GCAILINI,ADARE,28,32,31,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,09306W,CROOM NATIONAL SCHOOL,CROOM,CO LIMERICK,22,23,27,30,29,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,09401Q,MONOGAY NATIONAL SCHOOL,NEWCASTLEWEST,CO LIMERICK,19,25,29,24,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,09702H,ST JAMES N S,CAPPAGH,ASKEATON,27,30,21,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,09915B,MARTINSTOWN N S,KILLMALLOCK,CO LIMERICK,27,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,09927I,GRANAGH NATIONAL SCHOOL,GRANAGH,KILMALLOCK,19,23,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,10929T,RATHKEALE N S 2,RATHKEALE,CO LIMERICK,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,10991B,GARRYDOOLIS N S,PALLASAGREEN,CO LIMERICK,18,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,11280T,CARRICKERRY N S,ATHEA,CO LIMERICK,12,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,11307N,BALLYGUILTENANE N S,GLIN,CO LIMERICK,9,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,11422N,MAHOONAGH N S,CASTLEMAHON,LIMERICK,27,29,28,26,25,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,11809O,S N CNOCH A DEAGA,BALLYLANDERS,CO LIMERICK,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,11955C,COOLCAPPA N S,ARDAGH,CO LIMERICK,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,12368P,S N NAOMH PADRAIG,ABBEYFEALE,CO LIMERICK,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,12613C,GLENBROHANE N S,GARRYSPILLANE,KILLMALLOCK,27,24,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,12631E,PALLASKENRY N S,PALLASKENRY N S,CO LIMERICK,29,30,31,26,26,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,12975N,ST JOSEPHS CONVENT,NEWCASTLE WEST,CO LIMERICK,35,26,34,33,26,25,19,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,13026P,KILFINANE CONVENT PRIMARY SCHOOL,KILFINANE,CO LIMERICK,26,28,20,31,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,13459A,S N GALLBHAILE,GALBALLY,CO TIPPERARY,26,32,33,26,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,13790G,BULGADEN N S,BULGADEN,KILMALLOCK,18,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,14005M,KILTEELY N S,KILTEELY,CO LIMERICK,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,14067L,FEDAMORE N S,FEDAMORE,KILLMALLOCK,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,14075K,S N MOLUA B,ARDAGH,CO LIMERICK,22,27,30,28,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,14231V,NICKER N S,NICKER,OLDPALLAS,31,25,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,14305B,BALLYLANDERS N S,KILMALLOCK,CO LIMERICK,35,23,24,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,14409N,SCOIL NEASSAIN,MUNGRET,LIMERICK,30,30,30,31,30,30,31,31,30,31,30,30,32,31,31,30,30,32,29,30,27,29,30,28,,,,,,,,,,,
LIMERICK COUNTY,14625T,DOON CONVENT N S,DOON,CO LIMERICK,27,28,20,18,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,15226K,CAHERLINE N S,CAHERLINE,CAHERCONLISH,24,29,32,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,15680J,SCOIL AN SPIORAID NAOMH,ROXBOROUGH,BALLYSHEEDY,23,24,24,21,28,30,32,32,33,33,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,15685T,ATHEA N SCHOOL,ATHEA,CO LIMERICK,26,18,23,31,14,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,15692Q,BILBOA N SCHOOL,BILBOA,CAPPAGHAMORE,31,30,26,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,15700M,CLOVERFIELD N S,CLOVERFIELD,DROMCHAOIN,18,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,16118M,DONOUGHMORE N S,DONOUGHMORE,LIMERICK,26,27,25,26,21,26,27,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,16237U,DROMTRASNA N S,ABBEYFEALE,CO LIMERICK,23,35,21,27,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,16239B,MEENKILLY N S,ABBEYFEALE,CO LIMERICK,17,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,16264A,ABBEYFEALE B N S 1,ABBEYFEALE,CO LIMERICK,23,26,29,22,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,16439J,SCOIL NA MBEARNAN,PALLASAGREEN,CO LIMERICK,18,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,16508C,SCOIL ATHAIN,LISNAGRY,CO LIMERICK,23,19,27,25,26,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,16712B,SCOIL NAOMH IOSAF,ADARE,CO LIMERICK,17,18,29,30,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,16713D,SCOIL NA MBRAITHRE,DOON,CO LIMERICK,17,15,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,16764U,KILMEEDY N S,KILMEEDY,CO LIMERICK,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,16896O,SCOIL NAOMH IDE,ATH NA FUINNSEOIGE,BEALACH CO LUIMNI,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,16913L,SCOIL NA NAOINEAN,EAS GEIPHTINE,CO LUIMNI,30,29,22,19,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17060M,CONVENT OF MERCY N S,ABBEYFEALE,CO LIMERICK,29,20,25,27,33,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17068F,SCOIL SEAN TSRAIDE,ATH DARA,CO LUIMNI,22,25,23,33,32,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17076E,SCOIL MHUIRE,GLEANN RUADH,KILMALLOCK,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17101A,SCOIL CRE CUMHRA,PATRICKS WELL,CO LIMERICK,20,22,27,27,29,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17138A,SCOIL CILL COLMAIN,ARD ACHADH,CO LUIMNI,23,31,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17155A,ATHLACCA N S,ATHLACCA,KILMALLOCK,24,29,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17184H,OOLA NATIONAL SCHOOL,OOLA,TIPPERARY,29,23,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17212J,SCOIL NAIS CNOC AINE,CNOC AINE,OSPUIDEAL,31,25,28,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17298W,KILBEHENNY N S,KILBEHENNY,MITCHELSTOWN,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17299B,SCOIL MHUIRE,EFFIN,KILLMALLOCK,28,28,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17364J,SCOIL BAILE AN AIRD,BAILE AN AIRD,KILMALLOCK,28,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17438M,SHANAGOLDEN N S,SHANAGOLDEN,CO LIMERICK,23,29,30,35,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17487C,SCOIL NAIS CATHAIR CHINN LIS,CATHAIRCINNLIS,CAHERCONLISH,17,30,25,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17593B,SCOIL NAOMH MHUIRE,CNOC UI COILEAIN,ABBEYFEALE,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17738B,SCOIL TOBAR PADRAIG,TOBAR PHADRAIG,LUIMNEACH,37,28,21,27,19,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17814O,GEAROID UI GHRIOBHTHA,LOUGHILL,MOUNTRENCHARD,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17871D,SCOIL CILL CHURNAIN,KILCORNAN,CO LIMERICK,28,32,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17937H,SCOIL MOIN A LIN,CASTLEROY,LIMERICK,25,26,25,24,25,27,28,34,34,33,35,34,34,28,28,29,30,30,31,30,,,,,,,,,,,,,,,
LIMERICK COUNTY,17951B,SCOIL O CURAIN B,NEWCASTLEWEST,CO LIMERICK,19,17,34,26,22,24,29,24,28,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,17981K,S N GLEANN NA GCREABHAR,GLEANN NA GCREABHAR,CILL MOCHEALLOG,14,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,18030I,SCOIL AILBHE,CATHAIR AILBHE,BALLYBRICKEN GRANGE,30,25,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,18142T,SCOIL CNOC LOINGE  B,KNOCKLONG,CO LIMERICK,26,23,22,22,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,18161A,CASTLECONNELL N S,CASTLECONNEL,CO LIMERICK,32,23,28,30,29,27,27,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,18177P,SCOIL AINE NAOFA,RATH CAOLA,CO LUIMNI,13,16,11,12,16,12,15,17,9,14,16,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,18236F,SCOIL NAOMH MUIRE,BEAL ATHA DA THUILLE,CO LUIMNI,12,19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,18260C,SCOIL MHUIRE,BEAL AN ATHA,RATHLUIRC,20,15,36,26,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,18367U,S N TOINN AN TAIRBH,CAPPAMORE,CO LIMERICK,19,29,28,23,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,18426K,SCOIL IDE NAOFA,RAITHINEACH,BEALACH,24,22,27,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,18516L,S N LIOS NA GROI,LISNAGRY,CO LIMERICK,17,17,33,33,25,21,31,32,30,30,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,18530F,ASKEATON SENIOR NS,ASKEATON,CO LIMERICK,20,27,29,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,18600A,S N MA RUA,MA RUA,CO LUIMNI,22,29,29,30,31,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,18612H,SCOIL MHUIRE,ACHADH LIN,BALLINGARRY,28,22,28,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,18653V,SCOIL NAOMH IOSEF,RATHKEALE,CO LIMERICK,17,14,12,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,18708U,S N CILL LACHTAIN,NEWCASTLEWEST,CO LIMERICK,30,28,27,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,18717V,S N CIARAIN,CILLFIOBHNAI,ATH DARA,15,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,19272O,SN NAOMH IOSEF,BALLYBROWN,CLARINA,23,27,34,30,33,21,21,31,23,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,19323F,S N BEAL ATHA GREAN,KILMALLOCK,CO LIMERICK,22,29,22,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,19336O,SCOIL PHOIL NAOFA,DOORADOYLE,LIMERICK,28,28,28,30,28,30,28,28,28,28,25,26,29,29,29,29,30,29,25,27,25,26,25,24,,,,,,,,,,,
LIMERICK COUNTY,19800N,MILFORD GRANGE N SCHOOL,MILFORD,CASTLETROY,22,21,21,21,21,22,31,32,31,31,31,31,31,31,32,32,31,31,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,19883U,GAELSCOIL O DOGHAIR,CAISLEAN NUA THIAR,CO LUIMNIGH,30,31,32,28,21,23,21,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,19952N,HOSPITAL NS,HOSPITAL,CO LIMERICK,30,23,20,21,22,34,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,19966B,ST JOSEPHS,DRUMCOLLOGHER,CHARLEVILLE,23,28,27,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,20094A,SCOIL CHRIOST AN SLANAITHEOIR,BAILE AN GHARRAI,CO LUIMNIGH,28,29,25,24,27,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,20102T,ST FERGUS PRIMARY SCHOOL,GLIN,CO LIMERICK,27,24,31,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMERICK COUNTY,20133H,SCOIL DEAN CUSSEN,BRU NA NDEISE,CO LUIMNIGH,32,27,28,30,30,26,30,31,25,20,22,,,,,,,,,,,,,,,,,,,,,,,,
