"Number of pupils in each class at individual national school level, 2011/2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The data contained in this sheet is sourced from the 2011/2012 Census of Primary Schools and refers to pupils in mainstream classes only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Class No. 1,Class No. 2,Class No. 3,Class No. 4,Class No. 5,Class No. 6,Class No. 7,Class No. 8,Class No. 9,Class No. 10,Class No. 11,Class No. 12,Class No. 13,Class No. 14,Class No. 15,Class No. 16,Class No. 17,Class No. 18,Class No. 19,Class No. 20,Class No. 21,Class No. 22,Class No. 23,Class No. 24,Class No. 25,Class No. 26,Class No. 27,Class No. 28,Class No. 29,Class No. 30,Class No. 31,Class No. 32,Class No. 33,Class No. 34,Class No. 35
COUNTY,RollNo,SCHOOL,ADDRESS1,ADDRESS2,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils
CAVAN,14073G,CASTLETARA N S,BALLYHAISE,CO CAVAN,28,25,18,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,14211P,S N LATHRACH 2,KINGSCOURT,CO CAVAN,28,25,32,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,14320U,CORLEA N S,KINGSCOURT,CO CAVAN,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,14336M,SEARCOG I N S,SHERCOCK,VIA DUNDALK,24,19,29,34,26,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,14399N,KILLYGARRY N S,KILLYGARRY,CO CAVAN,25,29,30,26,29,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,14732U,SCOIL BHRIDE,MOUNTNUGENT,CO CAVAN,27,27,28,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,15120R,KILLYCONNAN N S,STRADONE,CO CAVAN,19,31,22,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,15452T,KILDALLON N S,ARDLOUGHER,BELTURBET,11,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,15502I,KILLINKERE N S,VIRGINIA,CO CAVAN,25,27,24,28,23,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,16057S,CONVENT OF MERCY N S,BELTURBET,CO CAVAN,27,27,24,25,22,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,16083T,VIRGINIA MXD N S,VIRGINIA,CO CAVAN,31,30,20,20,23,33,31,32,32,29,31,29,21,18,,,,,,,,,,,,,,,,,,,,,
CAVAN,16093W,BALLYCONNELL MXD N S,BALLYCONNELL,CO CAVAN,19,30,25,30,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,16316Q,ST MARYS N S,ARVA,CO CAVAN,28,25,23,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAN,16390F,SCOIL BHRIDE,KILLSHANDRA,CO CAVAN,21,19,30,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
